"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"Vwf.Esam"	"Vwf"	"Esam"	0	0	0	0	0	378	0	0	0	0	0	107	449	667
"Sema4f.Plxnb3"	"Sema4f"	"Plxnb3"	0	0	0	0	0	0	0	0	296	800	0	0	525	927
"Efnb2.Plxnb3"	"Efnb2"	"Plxnb3"	0	0	0	0	0	0	166	0	0	0	0	0	107	223
"Il16.Cd3g"	"Il16"	"Cd3g"	0	0	0	0	0	320	0	0	0	0	0	0	0	319
"Ccl2.Plaur"	"Ccl2"	"Plaur"	0	0	0	0	0	354	0	0	0	0	0	0	74	376
"Ccl3.Plaur"	"Ccl3"	"Plaur"	0	0	0	0	0	188	0	0	0	0	0	0	0	188
"Ncan.Cntn1"	"Ncan"	"Cntn1"	0	0	0	0	0	0	0	0	102	0	0	89	190	279
"Bmp8b.Acvrl1"	"Bmp8b"	"Acvrl1"	0	0	0	0	0	0	0	0	167	0	0	97	221	362
"Bmp8b.Acvr1b"	"Bmp8b"	"Acvr1b"	0	0	0	0	0	0	0	0	167	0	0	171	221	415
"Bmp8b.Smo"	"Bmp8b"	"Smo"	0	0	0	0	0	0	0	0	64	0	0	65	136	177
"Wnt3.Axl"	"Wnt3"	"Axl"	0	0	0	0	0	0	0	0	110	0	0	61	74	158
"Cdh1.Axl"	"Cdh1"	"Axl"	0	0	0	0	0	0	0	0	0	0	0	287	0	286
"Pdgfb.Axl"	"Pdgfb"	"Axl"	0	0	0	0	0	0	0	0	108	0	0	163	0	221
"Col6a1.Axl"	"Col6a1"	"Axl"	0	0	0	0	0	207	0	0	0	0	0	97	69	275
"Efnb2.Axl"	"Efnb2"	"Axl"	0	0	0	0	0	0	0	0	154	0	0	0	68	177
"Col1a1.Axl"	"Col1a1"	"Axl"	0	0	0	0	0	153	0	0	0	0	0	115	0	218
"Vwf.Axl"	"Vwf"	"Axl"	0	0	0	0	0	0	0	0	0	0	0	152	0	151
"Ncan.Axl"	"Ncan"	"Axl"	0	0	0	0	0	0	0	0	0	0	0	0	338	338
"Tgfb1.Ngfr"	"Tgfb1"	"Ngfr"	0	0	0	0	0	0	0	0	0	0	0	287	0	286
"Tgfb1.Pdgfra"	"Tgfb1"	"Pdgfra"	0	0	0	0	0	0	0	0	87	0	0	239	700	773
"Tgfb1.Acvrl1"	"Tgfb1"	"Acvrl1"	0	0	0	0	0	0	0	0	630	0	559	416	402	935
"Tgfb1.Acvr1b"	"Tgfb1"	"Acvr1b"	0	0	0	0	0	0	0	0	421	0	519	526	452	918
"Tgfb1.Itgb7"	"Tgfb1"	"Itgb7"	0	0	0	0	0	0	67	0	102	0	0	107	65	206
"Tgfb1.Itga3"	"Tgfb1"	"Itga3"	0	0	0	0	0	0	0	0	0	0	0	191	0	191
"Tgfb1.Bdkrb2"	"Tgfb1"	"Bdkrb2"	0	0	0	0	0	0	0	0	0	0	0	170	0	169
"Tgfb1.Smo"	"Tgfb1"	"Smo"	0	0	0	0	0	0	0	0	64	0	0	190	136	287
"Tgfb1.Plaur"	"Tgfb1"	"Plaur"	0	0	0	0	0	163	0	0	0	0	0	0	66	184
"Tgfb1.Axl"	"Tgfb1"	"Axl"	0	0	0	0	0	0	0	0	68	0	0	204	0	226
"Shh.Ngfr"	"Shh"	"Ngfr"	0	0	0	0	0	0	0	0	0	0	0	142	108	201
"Shh.Pdgfra"	"Shh"	"Pdgfra"	0	0	0	0	0	0	0	0	0	0	0	125	142	217
"Shh.Acvrl1"	"Shh"	"Acvrl1"	0	0	0	0	0	0	0	0	0	0	0	50	550	554
"Shh.Acvr1b"	"Shh"	"Acvr1b"	0	0	0	0	0	0	70	0	0	0	0	175	550	624
