Human.gene.name,Gene.name
GSTT2B,GSTT2B
OR1E1,OR1E1
OR1E2,OR1E2
AGBL3,AGBL3
RAD21L1,RAD21L1
COQ7,COQ7
IL1R2,IL1R2
OXCT1,OXCT1
SEC14L4,SEC14L4
TGM5,TGM5
KYNU,KYNU
GRHL1,GRHL1
SLC20A1,SLC20A1
DCUN1D4,DCUN1D4
PAPPA2,PAPPA2
TMEM132D,TMEM132D
BOD1L1,BOD1L1
ACBD5,ACBD5
CYP2U1,CYP2U1
DROSHA,DROSHA
IFNA6,IFNA6
IFNA21,IFNA21
IFNA7,IFNA7
IFNA2,IFNA2
IFNA4,IFNA4
IFNA10,IFNA10
IFNA8,IFNA8
IFNA17,IFNA17
IFNA1,IFNA1
IFNA16,IFNA16
IFNA14,IFNA14
IFNA5,IFNA5
IFNA13,IFNA13
PPP1R3E,PPP1R3E
EIF4G3,EIF4G3
CD79A,CD79A
PHAX,PHAX
GSTM3,GSTM3
OR5AK2,OR5AK2
NMNAT1,NMNAT1
RAB30,RAB30
RPL41,RPL41
TIMM50,TIMM50
IKBKAP,IKBKAP
IFNA6,IFNA6
IFNA21,IFNA21
IFNA7,IFNA7
IFNA2,IFNA2
IFNA4,IFNA4
IFNA10,IFNA10
IFNA8,IFNA8
IFNA17,IFNA17
IFNA1,IFNA1
IFNA16,IFNA16
IFNA14,IFNA14
IFNA5,IFNA5
IFNA13,IFNA13
PELI1,PELI1
SPAG6,SPAG6
IFNA6,IFNA6
IFNA21,IFNA21
IFNA7,IFNA7
IFNA2,IFNA2
IFNA4,IFNA4
IFNA10,IFNA10
IFNA8,IFNA8
IFNA17,IFNA17
IFNA1,IFNA1
IFNA16,IFNA16
IFNA14,IFNA14
IFNA5,IFNA5
IFNA13,IFNA13
NAT8,NAT8
ZNF512,ZNF512
PRKCH,PRKCH
ALDH7A1,ALDH7A1
TMEM52,TMEM52
MYCBPAP,MYCBPAP
TRIP12,TRIP12
ASCL1,ASCL1
ZBTB43,ZBTB43
TRADD,TRADD
EPS8,EPS8
OTC,OTC
PNPLA8,PNPLA8
PDXDC1,PDXDC1
BDNF,BDNF
RGS5,RGS5
OR1E1,OR1E1
OR1E2,OR1E2
TXNDC9,TXNDC9
TPGS2,TPGS2
PLK4,PLK4
C6orf132,C6orf132
DHDDS,DHDDS
CD37,CD37
ST3GAL6,ST3GAL6
ZFP14,ZFP14
AC023509.3,AC023509.3
ADAMTS18,ADAMTS18
BACE1,BACE1
OR6C3,OR6C3
NPFF,NPFF
C1orf116,C1orf116
GPC3,GPC3
CFH,CFH
CFHR3,CFHR3
GLMN,GLMN
RARS2,RARS2
AL096814.1,AL096814.1
SLFN12,SLFN12
SLFN12L,SLFN12L
AC023509.3,AC023509.3
TMEM74B,TMEM74B
MIF,MIF
C1orf21,C1orf21
IGHV3-15,IGHV3-15
AC136616.2,AC136616.2
IGHV3-49,IGHV3-49
PALD1,PALD1
STK40,STK40
SRRT,SRRT
CREBZF,CREBZF
KIAA1328,KIAA1328
F2RL2,F2RL2
BRS3,BRS3
BPHL,BPHL
UBQLN4,UBQLN4
CCDC141,CCDC141
PLCXD3,PLCXD3
ALDH3B2,ALDH3B2
DYNC1LI2,DYNC1LI2
BCR,BCR
AC002310.5,AC002310.5
AC002310.4,AC002310.4
ZNF764,ZNF764
ZNF747,ZNF747
NAT8,NAT8
RGS4,RGS4
PRAMEF9,PRAMEF9
PRAMEF26,PRAMEF26
PRAMEF17,PRAMEF17
PRAMEF25,PRAMEF25
PRAMEF5,PRAMEF5
PRAMEF1,PRAMEF1
PRAMEF12,PRAMEF12
PRAMEF27,PRAMEF27
PRAMEF14,PRAMEF14
PRAMEF8,PRAMEF8
PRAMEF7,PRAMEF7
PRAMEF15,PRAMEF15
PRAMEF6,PRAMEF6
PRAMEF20,PRAMEF20
PRAMEF19,PRAMEF19
PRAMEF18,PRAMEF18
PRAMEF2,PRAMEF2
PRAMEF13,PRAMEF13
PRAMEF33,PRAMEF33
PRAMEF4,PRAMEF4
PRAMEF11,PRAMEF11
PRAMEF10,PRAMEF10
SAMD9L,SAMD9L
CDC42BPG,CDC42BPG
GNAQ,GNAQ
MFSD14B,MFSD14B
OR6C75,OR6C75
ADAM32,ADAM32
MRLN,MRLN
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
TTC13,TTC13
DCBLD2,DCBLD2
DDX39B,DDX39B
MFSD4B,MFSD4B
MROH2A,MROH2A
NDUFB10,NDUFB10
PRAMEF9,PRAMEF9
PRAMEF26,PRAMEF26
PRAMEF17,PRAMEF17
PRAMEF25,PRAMEF25
PRAMEF5,PRAMEF5
PRAMEF1,PRAMEF1
PRAMEF12,PRAMEF12
PRAMEF27,PRAMEF27
PRAMEF14,PRAMEF14
PRAMEF8,PRAMEF8
PRAMEF7,PRAMEF7
PRAMEF15,PRAMEF15
PRAMEF6,PRAMEF6
PRAMEF20,PRAMEF20
PRAMEF19,PRAMEF19
PRAMEF18,PRAMEF18
PRAMEF2,PRAMEF2
PRAMEF13,PRAMEF13
PRAMEF33,PRAMEF33
PRAMEF4,PRAMEF4
PRAMEF11,PRAMEF11
PRAMEF10,PRAMEF10
RNF214,RNF214
ADCK1,ADCK1
GFPT1,GFPT1
PRAMEF9,PRAMEF9
PRAMEF26,PRAMEF26
PRAMEF17,PRAMEF17
PRAMEF25,PRAMEF25
PRAMEF5,PRAMEF5
PRAMEF1,PRAMEF1
PRAMEF12,PRAMEF12
PRAMEF27,PRAMEF27
PRAMEF14,PRAMEF14
PRAMEF8,PRAMEF8
PRAMEF7,PRAMEF7
PRAMEF15,PRAMEF15
PRAMEF6,PRAMEF6
PRAMEF20,PRAMEF20
PRAMEF19,PRAMEF19
PRAMEF18,PRAMEF18
PRAMEF2,PRAMEF2
PRAMEF13,PRAMEF13
PRAMEF33,PRAMEF33
PRAMEF4,PRAMEF4
PRAMEF11,PRAMEF11
PRAMEF10,PRAMEF10
TRPV2,TRPV2
IARS2,IARS2
CCNE2,CCNE2
HEPACAM2,HEPACAM2
OR6C2,OR6C2
TSPAN7,TSPAN7
AF241726.2,AF241726.2
SIRPB1,SIRPB1
SIRPG,SIRPG
AL049634.2,AL049634.2
SIRPA,SIRPA
HJURP,HJURP
CYP2B6,CYP2B6
CASP2,CASP2
RETN,RETN
CCDC190,CCDC190
BCL2L2-PABPN1,BCL2L2-PABPN1
PABPN1,PABPN1
SSBP2,SSBP2
NTAN1,NTAN1
IRF7,IRF7
GIMAP5,GIMAP5
GIMAP1-GIMAP5,GIMAP1-GIMAP5
HIST1H4E,HIST1H4E
PRKDC,PRKDC
NQO1,NQO1
DDAH2,DDAH2
HECW2,HECW2
LMX1B,LMX1B
OR5AK2,OR5AK2
C6,C6
MRPS18A,MRPS18A
PPARGC1B,PPARGC1B
HEY1,HEY1
GATA4,GATA4
PAPOLB,PAPOLB
RADIL,RADIL
SRPK2,SRPK2
NR2F2,NR2F2
NOTCH3,NOTCH3
HECTD4,HECTD4
TMC7,TMC7
KIAA1107,KIAA1107
OR1E1,OR1E1
OR1E2,OR1E2
RSPH9,RSPH9
ATG5,ATG5
C11orf95,C11orf95
KIAA1107,KIAA1107
HIST1H4J,HIST1H4J
HIST1H4F,HIST1H4F
FBXO36,FBXO36
INTS8,INTS8
NAT8,NAT8
RBM43,RBM43
TAS2R19,TAS2R19
TAS2R50,TAS2R50
TAS2R30,TAS2R30
TAS2R20,TAS2R20
TAS2R43,TAS2R43
TAS2R31,TAS2R31
TAS2R46,TAS2R46
ARHGAP29,ARHGAP29
RAB3GAP2,RAB3GAP2
NAT8,NAT8
PNMA1,PNMA1
PHRF1,PHRF1
DNAL1,DNAL1
TANK,TANK
CDC45,CDC45
MAGIX,MAGIX
PANX1,PANX1
GALNTL6,GALNTL6
RPAP2,RPAP2
TUBB2A,TUBB2A
KMT2E,KMT2E
FHDC1,FHDC1
IL13,IL13
GOLGB1,GOLGB1
TGM7,TGM7
TAS2R13,TAS2R13
IRS2,IRS2
RAB11FIP3,RAB11FIP3
CDK6,CDK6
FAM166A,FAM166A
SLC16A9,SLC16A9
KLF11,KLF11
IFNA6,IFNA6
IFNA21,IFNA21
IFNA7,IFNA7
IFNA2,IFNA2
IFNA4,IFNA4
IFNA10,IFNA10
IFNA8,IFNA8
IFNA17,IFNA17
IFNA1,IFNA1
IFNA16,IFNA16
IFNA14,IFNA14
IFNA5,IFNA5
IFNA13,IFNA13
TSEN15,TSEN15
RRS1,RRS1
CNGB1,CNGB1
ATP4B,ATP4B
TUBB4B,TUBB4B
ACOT12,ACOT12
BX072566.1,BX072566.1
POTEC,POTEC
POTEB,POTEB
POTEF,POTEF
POTEB3,POTEB3
POTEG,POTEG
POTEA,POTEA
POTEM,POTEM
POTEI,POTEI
POTED,POTED
POTEH,POTEH
AC136352.3,AC136352.3
POTEJ,POTEJ
POTEE,POTEE
POTEB2,POTEB2
ADRA2B,ADRA2B
BCL2L2,BCL2L2
WWP1,WWP1
OR14A16,OR14A16
CALN1,CALN1
MTMR2,MTMR2
SYN3,SYN3
NOX3,NOX3
KLHL9,KLHL9
GCNT1,GCNT1
CYP2A6,CYP2A6
CYP2A13,CYP2A13
CYP2A7,CYP2A7
